chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
100.0,100.0,184029,0,0,-3,3,0,3,4.2,4.2,6,Martin,3.2,13,False,,2024-09-10T00:30:06.311550Z,82,184029.jpg,4.0,Ødegaard,4.1,False,,a,1,3,20,207613,6000,1351002,444,0.4,2.4,Ødegaard,161.0,424,0,2,3,2,0,0,0,1,0,0,2,83,62.8,125.7,66.0,25.5,5,0.83,1.12,1.95,4.55,278,128,108,79,163,99,201,104,3.0,,1.0,,2.0,,0.18,0.0,0.24,0.42,0.97,0.42,11,8,71,32,52,22,83,24,1.06,0.64
100.0,100.0,154561,0,0,0,0,1,1,3.8,3.8,6,David,2.8,15,False,,2024-09-25T21:30:06.211210Z,55,154561.jpg,4.0,Raya Martin,28.6,False,,a,1,3,48,1748502,3468,1524423,2207,0.5,8.7,Raya,200.0,1080,0,0,4,12,0,0,0,2,0,34,6,180,287.0,0.0,0.0,28.8,12,0.00,0.01,0.01,12.33,23,9,668,72,666,72,179,9,,,,,,,0.0,2.83,0.0,0.0,1.03,1.0,111,2,94,13,51,7,6,1,1.0,0.33
100.0,75.0,204480,0,0,-2,2,0,3,3.2,2.4,0,Declan,2.2,16,False,,2024-11-07T09:00:07.142642Z,63,204480.jpg,1.9,Rice,2.6,False,,a,1,3,19,136837,107,532895,821,0.3,3.0,Rice,241.0,832,0,1,2,12,0,0,0,2,1,0,0,122,156.2,229.4,89.0,46.9,10,0.74,1.23,1.97,9.23,134,46,33,28,124,81,72,43,2.0,,2.0,,,,0.08,0.0,0.13,0.21,1.0,1.3,56,34,140,61,252,116,115,36,1.08,0.22
100.0,75.0,223340,0,0,1,-1,3,3,6.8,5.1,10,Bukayo,5.8,17,True,,2024-11-10T23:00:07.191683Z,101,223340.jpg,7.0,Saka,25.5,False,,a,1,3,77,2870134,35418,3466919,2656,0.6,7.6,Saka,241.0,902,4,8,4,9,0,0,0,2,0,0,10,323,338.0,406.1,391.0,113.4,11,2.74,3.67,6.41,8.58,9,4,3,3,5,4,3,2,1.0,,,,1.0,,0.27,0.0,0.37,0.64,0.86,0.9,4,3,12,6,3,3,9,5,1.1,0.4
100.0,100.0,462424,0,0,0,0,0,2,3.5,3.5,6,William,2.5,18,False,,2024-10-19T19:30:06.564445Z,60,462424.jpg,2.6,Saliba,22.2,False,,a,1,3,29,814737,4053,2649873,1369,0.4,4.8,Saliba,73.0,929,0,0,4,10,0,0,0,2,1,0,0,160,154.8,34.7,10.0,20.1,11,0.00,0.59,0.59,9.69,138,57,260,78,316,103,242,79,,,,,,,0.0,0.0,0.06,0.06,0.94,0.97,81,6,112,31,165,47,15,4,1.07,0.39
,,167199,0,0,0,0,0,3,4.0,4.0,6,Thomas,3.0,20,False,,,50,167199.jpg,3.1,Partey,1.0,False,,a,1,3,37,231664,547,181594,287,0.6,7.4,Thomas,81.0,1017,2,0,3,12,0,0,0,2,0,0,3,210,197.2,135.0,38.0,37.2,11,0.61,0.51,1.12,12.09,82,28,94,70,220,125,115,71,,,,,,,0.05,0.0,0.05,0.1,1.07,1.06,195,122,78,33,107,45,202,61,0.97,0.27
0.0,0.0,192895,0,0,-2,2,0,2,0.0,0.0,0,Kieran,0.0,21,False,Hamstring injury - Unknown return date,2024-08-12T14:30:04.394338Z,43,192895.jpg,0.0,Tierney,0.0,False,,i,1,3,0,598,2,4175,2,0.0,0.0,Tierney,243.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,528,199,518,198,489,189,531,199,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,550,132,476,189,537,198,593,200,0.0,0.0
0.0,0.0,223723,0,0,-2,2,0,2,0.0,0.0,0,Tomiyasu,0.0,22,False,Knee injury - Unknown return date,2024-10-18T16:00:06.930143Z,48,223723.jpg,1.0,Takehiro,0.0,False,,i,1,3,1,1282,4,7017,8,0.0,0.2,Tomiyasu,108.0,6,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,9.0,1.0,0,0.18,0.00,0.18,0.04,441,151,413,146,324,106,425,143,,,,,,,2.7,0.0,0.0,2.7,0.6,0.0,310,36,600,218,397,135,540,191,0.0,0.0
100.0,75.0,116216,0,0,-1,1,1,3,3.0,2.2,3,Leandro,2.0,23,False,,2024-11-21T08:30:08.540890Z,69,116216.jpg,2.8,Trossard,1.8,False,,a,1,3,34,323231,126,389156,1227,0.3,4.9,Trossard,21.0,676,2,1,3,8,0,0,0,0,1,0,3,123,129.0,130.8,156.0,41.4,8,1.94,0.51,2.45,5.69,173,65,100,75,67,40,98,60,,,,,4.0,,0.26,0.0,0.07,0.33,0.76,1.07,27,15,171,76,148,60,147,43,1.07,0.4
0.0,0.0,198869,0,0,-3,3,0,2,0.0,0.0,0,Benjamin,1.5,24,False,Knee injury - Unknown return date,2024-11-14T13:00:07.861117Z,62,198869.jpg,3.0,White,3.4,False,,i,1,3,27,144638,9,845942,5048,0.2,4.4,White,241.0,694,0,1,3,7,0,0,0,2,0,0,0,112,128.4,55.3,29.0,21.3,7,0.13,0.32,0.45,9.87,175,70,212,56,240,68,237,75,,,,,,,0.02,0.0,0.04,0.06,1.28,0.91,67,4,206,64,125,34,94,38,0.91,0.39
100.0,100.0,206325,0,0,-2,2,0,2,1.5,1.5,1,Oleksandr,0.5,25,False,,2024-09-15T23:00:06.018330Z,48,206325.jpg,2.2,Zinchenko,1.0,False,,a,1,3,9,79819,105,282353,108,0.1,1.9,Zinchenko,225.0,130,0,0,1,0,0,0,0,0,0,0,0,33,11.8,7.3,8.0,2.7,1,0.00,0.05,0.05,0.88,381,136,356,115,328,108,390,128,,,,,,,0.0,0.0,0.03,0.03,0.61,0.0,304,34,313,104,200,65,199,78,0.69,0.69
100.0,100.0,69752,0,0,-2,2,0,1,1.0,1.0,0,Norberto,0.0,73,False,,2024-10-05T17:30:06.760449Z,43,69752.jpg,3.5,Murara Neto,1.0,False,,a,1,3,7,81112,21,215445,143,0.0,1.6,Neto,30.0,180,0,0,0,2,0,0,0,0,0,11,0,30,77.8,0.0,0.0,7.8,2,0.00,0.00,0.00,2.91,248,25,514,50,482,41,327,25,,,,,,,0.0,5.5,0.0,0.0,1.46,1.0,535,32,467,60,71,12,201,28,1.0,0.0
100.0,100.0,103955,0,0,-3,3,0,3,2.0,2.0,4,Raheem,1.0,186,False,,2024-11-02T15:00:07.534992Z,67,103955.jpg,1.6,Sterling,0.9,False,,a,1,3,8,45129,76,142187,88,0.1,1.2,Sterling,241.0,128,0,1,0,1,0,0,0,0,0,0,0,24,4.8,15.9,47.0,6.7,2,0.33,0.08,0.41,0.65,416,204,313,181,204,119,335,165,,,,,,,0.23,0.0,0.06,0.29,0.46,0.7,37,19,260,125,307,146,211,67,1.41,0.0
100.0,100.0,466075,0,0,-2,2,1,2,2.5,2.5,6,Riccardo,1.5,578,False,,2024-10-23T08:00:07.835459Z,58,466075.jpg,2.9,Calafiori,1.4,False,,a,1,3,20,170968,1033,317536,98,0.3,3.4,Calafiori,106.0,450,1,0,1,6,0,0,0,1,0,0,1,83,119.8,42.8,100.0,26.2,5,0.50,0.42,0.92,5.17,184,72,242,69,111,13,199,58,,,,,,,0.1,0.0,0.08,0.18,1.03,1.2,93,8,205,63,138,40,179,68,1.0,0.2
,,499169,0,0,0,0,0,3,1.2,1.2,0,Myles,0.2,597,False,,,45,499169.jpg,0.5,Lewis-Skelly,0.1,False,,a,1,3,1,7332,15,6323,29,0.0,0.2,Lewis-Skelly,241.0,15,0,0,0,2,0,0,0,1,0,0,0,5,3.2,0.4,2.0,0.6,0,0.00,0.00,0.00,0.80,427,210,408,217,371,202,433,214,,,,,,,0.0,0.0,0.0,0.0,4.8,12.0,433,262,345,163,448,223,491,185,0.0,0.0
100.0,100.0,195384,0,0,0,0,0,3,4.2,4.2,3,Mikel,3.2,633,False,,2024-11-08T15:00:08.397380Z,60,195384.jpg,2.7,Merino,0.1,False,,a,1,3,16,17608,194,10019,87,0.5,2.7,Merino,200.0,368,1,0,1,5,0,0,0,1,0,0,1,74,94.2,47.8,64.0,20.7,4,1.06,0.31,1.37,3.90,222,93,230,140,165,101,240,119,,,,,,,0.26,0.0,0.08,0.34,0.95,1.22,79,52,68,30,154,64,448,163,0.98,0.24
,,498046,0,0,0,0,0,3,1.0,1.0,0,Salah-Eddine,0.0,638,False,,,45,498046.jpg,0.0,Oulad M'hand,0.0,False,,a,1,3,0,1703,7,1176,6,0.0,0.0,Oulad M'hand,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,594,255,593,260,574,250,597,258,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,432,261,556,224,602,261,621,273,0.0,0.0
,,551221,0,0,0,0,0,1,1.0,1.0,0,Tommy,0.0,639,False,,,45,551221.jpg,0.0,Setford,0.0,False,,a,1,3,0,2112,7,1855,11,0.0,0.0,Setford,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,610,71,609,65,591,60,613,71,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,455,19,574,70,618,71,548,67,0.0,0.0
,,588793,0,0,0,0,0,2,1.0,1.0,0,Maldini,0.0,657,False,,,40,588793.jpg,0.0,Kacurri,0.1,False,,a,1,3,0,7636,18,4160,18,0.0,0.0,Kacurri,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,516,192,501,191,467,178,519,192,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,664,210,453,175,525,191,497,181,0.0,0.0
,,606745,0,0,0,0,0,2,1.0,1.0,0,Ayden,0.0,658,False,,,40,606745.jpg,0.0,Heaven,0.0,False,,a,1,3,0,4882,24,2820,17,0.0,0.0,Heaven,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,517,193,502,192,469,180,520,193,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,666,212,454,176,526,192,517,186,0.0,0.0
,,588796,0,0,0,0,0,3,1.0,1.0,0,Ismeal,0.0,659,False,,,45,588796.jpg,0.0,Kabia,0.0,False,,a,1,3,0,1673,3,981,4,0.0,0.0,Kabia,152.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,621,276,620,281,602,272,624,279,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,468,290,585,246,628,281,626,275,0.0,0.0
,,499167,0,0,0,0,0,2,1.0,1.0,0,Josh,0.0,662,False,,,40,499167.jpg,0.0,Nichols,0.0,False,,a,1,3,0,2449,12,1164,6,0.0,0.0,Nichols,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,498,176,483,175,446,159,501,176,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,643,191,432,156,506,174,564,196,0.0,0.0
,,461025,0,0,0,0,0,4,1.0,1.0,0,Nathan,0.0,665,False,,,45,461025.jpg,0.0,Butler-Oyedeji,0.2,False,,a,1,3,0,31773,186,12512,196,0.0,0.0,Butler-Oyedeji,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,574,47,572,47,551,47,577,47,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,403,66,534,46,582,51,356,55,0.0,0.0
100.0,100.0,215711,0,0,-2,2,0,3,1.7,2.2,2,Leon,2.2,28,False,,2024-10-04T14:00:05.587137Z,63,215711.jpg,2.1,Bailey,1.0,False,,a,2,7,23,127585,167,385294,264,0.3,3.7,Bailey,107.0,581,0,2,1,10,0,0,0,2,0,0,0,75,60.4,121.7,85.0,26.5,8,0.48,1.86,2.34,7.28,280,129,111,82,128,84,196,101,3.0,,4.0,,,,0.07,0.0,0.29,0.36,1.13,1.55,58,36,141,62,218,99,200,60,1.24,0.15
100.0,100.0,88894,0,0,-3,3,0,3,2.5,3.0,7,Ross,3.0,29,False,,2024-11-01T16:30:07.356966Z,52,88894.jpg,2.4,Barkley,0.3,False,,a,2,7,22,16090,164,73017,34,0.6,4.2,Barkley,241.0,361,2,1,1,5,0,0,0,3,0,0,0,89,88.8,65.8,94.0,24.8,2,1.03,0.29,1.32,3.11,231,100,183,115,119,77,204,105,,,,,,,0.26,0.0,0.07,0.33,0.78,1.25,162,97,81,34,184,80,316,105,0.5,0.25
0.0,0.0,491287,0,0,-1,1,0,3,0.0,0.0,0,Enzo,0.0,30,False,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,49,491287.jpg,0.0,Barrenechea,0.0,False,,u,2,7,0,872,0,5082,1,0.0,0.0,Barrenechea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,643,289,638,290,633,287,644,290,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,285,187,623,272,645,290,597,255,0.0,0.0
,,195546,0,0,-3,3,0,3,-0.5,0.0,0,Emiliano,0.0,31,False,,,52,195546.jpg,0.8,Buendía Stati,0.1,False,,a,2,7,4,5237,12,12652,16,0.0,0.8,Buendia,10.0,28,0,0,0,0,0,0,0,1,0,0,0,15,3.4,7.0,3.0,1.3,0,0.09,0.01,0.10,0.39,426,209,357,198,363,200,421,208,,,3.0,,,,0.29,0.0,0.03,0.32,1.25,0.0,167,102,646,289,434,216,459,168,0.0,0.0
100.0,100.0,199796,0,0,-1,1,0,2,0.3,0.8,1,Matty,0.8,32,False,,2024-11-04T00:00:07.281139Z,44,199796.jpg,2.0,Cash,1.1,False,,a,2,7,14,72052,305,273557,154,0.2,3.2,Cash,172.0,470,0,0,1,4,0,0,0,1,0,0,0,62,57.4,33.0,9.0,9.9,6,0.03,0.18,0.21,5.48,283,100,262,79,319,105,313,102,,,,,,,0.01,0.0,0.03,0.04,1.05,0.77,492,99,269,89,225,70,194,75,1.15,0.19
0.0,0.0,151589,0,0,0,0,0,3,0.0,0.0,0,Leander,0.0,33,False,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,45,151589.jpg,0.0,Dendoncker,0.3,False,,u,2,7,0,18187,0,85249,47,0.0,0.0,Dendoncker,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,557,228,554,233,533,223,560,231,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,364,228,516,195,565,234,326,110,0.0,0.0
0.0,0.0,243557,0,0,0,0,0,3,0.0,0.0,0,Moussa,0.0,34,False,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,65,243557.jpg,0.0,Diaby,0.0,False,,u,2,7,0,0,0,3282,1,0.0,0.0,Diaby,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,675,308,675,308,675,308,675,308,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,45,25,671,306,674,308,608,263,0.0,0.0
100.0,100.0,165659,0,0,0,0,0,2,-0.3,0.2,0,Diego Carlos,0.2,35,False,,2024-09-25T21:30:06.256588Z,45,165659.jpg,1.7,Santos Silva,0.5,False,,a,2,7,12,36443,198,56685,149,0.0,2.7,Diego Carlos,30.0,558,0,0,1,11,0,0,0,1,0,0,0,33,64.6,5.5,37.0,10.8,5,0.55,0.05,0.60,8.65,272,98,365,120,221,60,299,99,,,,,,,0.09,0.0,0.01,0.1,1.4,1.77,367,59,342,120,276,91,260,96,0.81,0.16
,,101188,0,0,2,-2,2,2,2.0,2.5,1,Lucas,2.5,36,False,,,47,101188.jpg,3.2,Digne,10.2,False,,a,2,7,38,1309994,2220,518851,3765,0.5,8.1,Digne,73.0,862,0,3,2,14,0,0,0,3,0,0,6,156,195.8,237.2,44.0,47.8,11,0.52,1.80,2.32,11.03,84,27,32,4,206,51,69,13,2.0,,2.0,,,,0.05,0.0,0.19,0.24,1.15,1.46,332,42,105,29,93,23,42,16,1.15,0.21
0.0,0.0,461421,0,0,0,0,0,3,0.0,0.0,0,Lewis,0.0,37,False,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z,50,461421.jpg,0.0,Dobbin,0.0,False,,u,2,7,0,0,0,259,0,0.0,0.0,Dobbin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,651,295,649,296,646,294,652,296,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,223,142,636,283,653,296,669,302,0.0,0.0
,,476344,0,0,-1,1,0,4,0.5,1.0,1,Jhon,1.0,38,False,,,59,476344.jpg,2.7,Durán,3.3,False,,a,2,7,32,956627,321,716397,2729,0.2,5.4,Duran,48.0,299,4,0,0,9,0,0,0,1,0,0,5,130,150.4,24.3,142.0,31.8,0,2.40,0.19,2.59,6.00,146,18,284,33,79,24,153,23,,,,,,,0.72,0.0,0.06,0.78,1.81,2.71,86,25,256,32,153,24,96,15,0.0,0.0
,,462492,0,0,0,0,0,1,-0.5,0.0,0,Joe,0.0,39,False,,,40,462492.jpg,0.0,Gauci,0.8,False,,a,2,7,0,57793,44,40636,73,0.0,0.0,Gauci,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,489,53,474,35,436,26,492,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,632,64,422,46,496,53,219,30,0.0,0.0
,,123354,0,0,0,0,0,2,-0.5,0.0,0,Kortney,0.0,40,False,,,40,123354.jpg,0.0,Hause,0.6,False,,a,2,7,0,33198,29,42188,67,0.0,0.0,Hause,241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,459,158,443,157,404,139,462,158,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,594,164,390,136,468,157,249,91,0.0,0.0
0.0,0.0,469247,0,0,-1,1,0,3,0.0,0.0,0,Samuel,0.0,41,False,Season long loan to Bologna,2024-08-29T11:07:04.555253Z,54,469247.jpg,0.0,Iling-Junior,0.0,False,,u,2,7,0,342,0,6548,2,0.0,0.0,Iling Jr,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,667,304,666,304,663,302,667,304,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,142,83,657,296,667,304,590,252,0.0,0.0
0.0,0.0,226944,0,0,0,0,0,3,0.0,0.0,0,Boubacar,0.5,42,False,Hamstring injury - Expected back 01 Dec,2024-11-11T16:00:06.089849Z,50,226944.jpg,0.7,Kamara,0.0,False,,i,2,7,2,1426,0,1130,16,0.1,0.4,Kamara,73.0,33,0,0,0,3,0,0,0,1,0,0,0,9,6.4,1.8,0.0,0.9,0,0.00,0.01,0.01,0.92,409,201,393,210,640,290,429,213,,,,,,,0.0,0.0,0.03,0.03,2.51,8.18,211,133,320,156,443,221,628,276,0.0,0.0
0.0,0.0,465390,0,0,0,0,0,2,0.0,0.0,0,Kaine,0.0,43,False,Has joined Preston North End for the rest of the season,2024-08-09T11:14:21.895838Z,40,465390.jpg,0.0,Kesler-Hayden,0.0,False,,u,2,7,0,0,0,1466,0,0.0,0.0,Kesler-Hayden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,493,174,478,173,440,156,496,174,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,636,187,426,153,500,171,633,211,0.0,0.0
0.0,0.0,199798,0,0,-1,1,1,2,0.0,0.0,0,Ezri,0.8,44,False,Hip injury - Expected back 01 Dec,2024-11-21T08:30:08.587167Z,44,199798.jpg,2.0,Konsa Ngoyo,8.6,False,,i,2,7,20,821547,22,1181802,11993,0.2,4.5,Konsa,241.0,821,1,0,0,16,0,0,0,0,0,0,1,108,168.0,56.6,57.0,28.2,10,0.35,0.33,0.68,11.29,120,49,208,55,179,38,186,52,,,,,,,0.04,0.0,0.04,0.08,1.24,1.75,493,100,270,90,226,71,51,18,1.1,0.0
